The last word was: YPT verse = Gen 005:032
The size of the words list is: 365
Searching file PaninSectionsInputGen5_1-Gen5_32.txt.
Searching Tanach 01Tanach_Lines.txt
Searching for 127. Numeric matches:
The total number of numeric matches is 0.

Searching file PaninSectionsInputGen5_1-Gen5_32.txt.
Searching Tanach 01Tanach_Lines.txt
Searching for 127. Place matches:
VYHYV YMY ADM AXRY  found ending in Gen 005:004 "The days of Adam after"
VYVLD BNYM VBNVT  found ending in Gen 005:004 "and begat sons and daughters"
VYVLD BNYM VBNVT  found ending in Gen 005:007
VYMT VYXY ANVS  found ending in Gen 005:009 "he died. And Enosh lived"
VYVLD BNYM VBNVT  found ending in Gen 005:010
VYVLD BNYM VBNVT  found ending in Gen 005:013
VYVLD BNYM VBNVT  found ending in Gen 005:016
VYVLD BNYM VBNVT  found ending in Gen 005:019
VYHYV KL YMY YRD  found ending in Gen 005:020
VYVLD BNYM VBNVT  found ending in Gen 005:022
SNH VSB@ MAVT  found ending in Gen 005:026 "year and seven hundred"
VSB@ MAVT SNH  found ending in Gen 005:026
VYVLD BNYM VBNVT  found ending in Gen 005:026
AXRY HVLYDV AT NX  found ending in Gen 005:030
VYVLD BNYM VBNVT  found ending in Gen 005:030
SNH VSB@ MAVT  found ending in Gen 005:031
VSB@ MAVT SNH  found ending in Gen 005:031 "seven hundred year"
The total number of place matches is 17.
