01 Bereshit       Genesis
02 Shemot         Exodus
03 VaYikra        Leviticus
04 BaMidbar       Numbers
05 Devarim        Deuteronomy
06 Yehoshua       Joshua
07 Shoftim        Judges
08 Shmuel A       1 Samuel
09 Shmuel B       2 Samuel
10 Melachim A     1 Kings
11 Melachim B     2 Kings
12 Yisheyah       Isaiah
13 Yermiyah       Jeremiah
14 Yechezchial    Ezekiel
15 Hoshea         Hosea
16 Yoel           Joel
17 Amos           Amos
18 Ovadiyah       Obadiah
19 Yonah          Jonah
20 Michah         Micah
21 Nachum         Nahum
22 Chabakuk       Habakkuk
23 Tzefaniyah     Zephaniah
24 Chaggi         Haggai
25 Zechariyah     Zechariah
26 Malachi        Malachi
27 Tehilim        Psalms
28 Mishlei        Proverbs
29 Eyov           Job
30 Shir HaShirim  Song of Songs
31 Ruth           Ruth
32 Eichah         Lamentations
33 Keholet        Ecclesiastes
34 Esther         Esther
35 Daniyel        Daniel
36 Ezra           Ezra
37 Nechemiyah     Nehemiah
38 Divrei Yamim A 1 Chronicles
39 Divrei Yamim B 2 Chronicles
